"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"07 Kronoberg county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",20919,20166,19313,18576,17758,17255,16462,15747,15034,14404,13707,13012,12298,11648,11032,10288,9760,9249,8695,8233,7768,7395,7064,6723,6357,6093,5805,5521,5249,5006,4760,4459,4162,3847
"07 Kronoberg county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",19215,18535,17768,17124,16081,15474,14755,13841,13154,12706,12030,11358,10697,10086,9507,8821,8245,7735,7245,6804,6395,5965,5620,5304,4974,4715,4513,4292,4063,3930,3766,3608,3440,3291
"07 Kronoberg county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",9338,9296,9386,9565,9692,10443,10532,10563,10419,10758,10909,10824,11056,11186,11363,10745,10629,10669,10713,10900,11036,11283,11424,11621,11680,11674,11553,11320,11030,11023,11056,11117,11264,11386
"07 Kronoberg county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",9435,9398,9463,9481,9300,9253,9327,9094,8871,9143,9165,9120,9278,9296,9325,8483,8363,8333,8335,8381,8450,8534,8580,8699,8626,8507,8331,8182,7970,7900,7847,7844,7843,7916
"07 Kronoberg county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",15705,16392,17018,17527,17816,19009,19230,19398,19417,19107,18812,18507,18213,17910,17587,17831,17813,17741,17511,17376,17134,17063,17094,17060,16909,16723,16664,16588,16464,16374,16327,16318,16184,16116
"07 Kronoberg county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",18634,19113,19500,19936,20728,21784,21853,22127,22149,21874,21427,20941,20471,19991,19553,18954,18652,18377,18044,17651,17261,16954,16762,16525,16231,15963,15723,15490,15234,14988,14750,14538,14277,13992
"07 Kronoberg county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",5929,6053,5981,6155,6115,7209,7382,7344,7613,8213,8941,9580,10195,10569,10908,11351,11745,12194,12585,12975,13446,13884,14424,15002,15557,15866,16336,16812,17243,17532,17760,18139,18588,18950
"07 Kronoberg county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",3533,3673,3862,4186,4321,5185,5448,5591,5916,6533,7212,7666,7922,8351,8562,9667,10158,10488,10783,11031,11463,11853,12285,12658,12918,13202,13588,13890,14092,14301,14482,14692,14977,15141
"07 Kronoberg county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",3611,3826,4125,4390,4618,5386,5527,5995,6384,6826,6901,7058,7147,7242,7383,7124,7178,7441,7644,7783,7741,7719,7843,7971,8068,8379,8676,8773,8952,9144,9384,9647,9773,9893
"07 Kronoberg county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",4072,4281,4421,4628,4815,5902,6080,6750,7201,7529,7703,8021,8335,8486,8746,8124,8176,8421,8746,8976,8811,8752,8831,8913,9083,9258,9372,9544,9598,9756,9968,10166,10287,10370
"07 Kronoberg county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",3385,3445,3507,3573,3837,4218,4248,4200,4243,4441,4517,4539,4550,4631,4704,5517,5785,5984,6298,6654,6964,7183,7406,7591,7815,8027,8218,8459,8638,8921,9240,9537,9755,10085
"07 Kronoberg county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",3031,3177,3286,3390,3576,3817,3898,3894,3984,4271,4441,4607,4781,4977,5226,6796,7202,7660,8086,8697,9413,9898,10387,10964,11378,11832,12211,12693,13136,13534,14040,14522,15045,15598
"07 Kronoberg county","total 16-74 years","post-graduate education (ISCED97 6)","men",185,197,192,189,201,159,162,162,165,178,191,197,206,204,221,246,258,274,278,289,308,326,327,335,345,354,368,365,371,401,402,416,429,428
"07 Kronoberg county","total 16-74 years","post-graduate education (ISCED97 6)","women",67,71,72,81,83,31,34,34,35,51,57,61,60,58,64,74,88,91,100,109,121,138,153,172,181,198,205,219,232,244,252,254,269,287
